model,metric,estimate,ci_lower,ci_upper,confidence_level,bootstrap_samples,bootstrap_unit
Qwen2.5-0.5B-Instruct,auroc,0.7939,0.7322975,0.8523025,0.95,10000,jbb_index_pair
Qwen2.5-0.5B-Instruct,auprc,0.814411744023023,0.7508721272890784,0.8759769262929948,0.95,10000,jbb_index_pair
Qwen2.5-0.5B-Instruct,macro_f1,0.6053333333333333,0.5392856151647193,0.6682027649769585,0.95,10000,jbb_index_pair
Qwen2.5-0.5B-Instruct,balanced_accuracy,0.63,0.575,0.685,0.95,10000,jbb_index_pair
Qwen2.5-1.5B-Instruct,auroc,0.8560000000000001,0.8057000000000001,0.9021025,0.95,10000,jbb_index_pair
Qwen2.5-1.5B-Instruct,auprc,0.8671066089508022,0.8172568023036639,0.9157788719814492,0.95,10000,jbb_index_pair
Qwen2.5-1.5B-Instruct,macro_f1,0.7632897685779759,0.7048936589785795,0.818840579710145,0.95,10000,jbb_index_pair
Qwen2.5-1.5B-Instruct,balanced_accuracy,0.765,0.71,0.8200000000000001,0.95,10000,jbb_index_pair
SmolLM2-360M-Instruct,auroc,0.6981,0.6432950000000001,0.7533025,0.95,10000,jbb_index_pair
SmolLM2-360M-Instruct,auprc,0.7251713103572877,0.6735896532409665,0.780035761199161,0.95,10000,jbb_index_pair
SmolLM2-360M-Instruct,macro_f1,0.6316758747697975,0.5777983729790959,0.683218101822753,0.95,10000,jbb_index_pair
SmolLM2-360M-Instruct,balanced_accuracy,0.635,0.585,0.685,0.95,10000,jbb_index_pair
SmolLM2-1.7B-Instruct,auroc,0.7909000000000002,0.7339975,0.8450000000000001,0.95,10000,jbb_index_pair
SmolLM2-1.7B-Instruct,auprc,0.8239611673201382,0.7734029322053074,0.8723159635149188,0.95,10000,jbb_index_pair
SmolLM2-1.7B-Instruct,macro_f1,0.7206349206349206,0.6578053576444751,0.7782034479282185,0.95,10000,jbb_index_pair
SmolLM2-1.7B-Instruct,balanced_accuracy,0.725,0.665,0.78,0.95,10000,jbb_index_pair
