method,model,seed,auroc,auprc,macro_f1,balanced_accuracy
selected_activation_probe,Qwen2.5-0.5B-Instruct,,0.98446,0.9832999111787565,0.9371207282018525,0.938
selected_activation_probe,Qwen2.5-1.5B-Instruct,,0.98594,0.9827145750119526,0.9483251868531287,0.949
word_tfidf,shared_text_baseline,,0.82213,0.7769196847689996,0.7580886012941762,0.7595000000000001
character_tfidf,shared_text_baseline,,0.79472,0.7670599535485656,0.7064520787375697,0.7075
length,shared_text_baseline,,0.54294,0.4593283065522388,0.44109344822463226,0.496
punctuation,shared_text_baseline,,0.52347,0.47318870133480645,0.4964886337439767,0.5255
first_token,shared_text_baseline,,0.60929,0.5376359289628185,0.5811210666722135,0.5845
layer_0,Qwen2.5-0.5B-Instruct,,0.5,0.4444444444444444,0.35714285714285715,0.5
shuffled_labels,Qwen2.5-0.5B-Instruct,101,0.57356,0.4699849225569792,0.5684229455133969,0.5685
shuffled_labels,Qwen2.5-0.5B-Instruct,202,0.45640000000000003,0.3987816148487869,0.46875,0.46950000000000003
shuffled_labels,Qwen2.5-0.5B-Instruct,303,0.51896,0.44182574425994225,0.5028523220311747,0.503
layer_0,Qwen2.5-1.5B-Instruct,,0.5,0.4444444444444444,0.35714285714285715,0.5
shuffled_labels,Qwen2.5-1.5B-Instruct,101,0.55418,0.46871288997872446,0.5310245310245311,0.5309999999999999
shuffled_labels,Qwen2.5-1.5B-Instruct,202,0.46546,0.41452321040409756,0.44409850554394986,0.4445
shuffled_labels,Qwen2.5-1.5B-Instruct,303,0.46956,0.41638925388875714,0.47633474448747015,0.47650000000000003
