model,outer_fold,layer,C,inner_mean_auroc,auroc,auprc,macro_f1,balanced_accuracy,n_iter
Qwen2.5-0.5B-Instruct,0,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-0.5B-Instruct,0,1,0.01,0.7621929422830579,0.7735000000000001,0.8001759253638664,0.6745230078563411,0.675,50
Qwen2.5-0.5B-Instruct,0,2,0.1,0.8187312911334313,0.8895,0.897947404717355,0.7843903669146388,0.7825,173
Qwen2.5-0.5B-Instruct,0,3,0.1,0.8415537773934471,0.895,0.8931468385777833,0.8200000000000001,0.8200000000000001,145
Qwen2.5-0.5B-Instruct,0,4,0.1,0.8453820725481291,0.878,0.8758515836524805,0.7773379515091539,0.7825,152
Qwen2.5-0.5B-Instruct,0,5,0.1,0.878063623815994,0.854,0.8214388423171285,0.7544642857142858,0.7575000000000001,135
Qwen2.5-0.5B-Instruct,0,6,1.0,0.9057664159982756,0.8765000000000001,0.863200133104854,0.7882352941176471,0.7925,282
Qwen2.5-0.5B-Instruct,0,7,10.0,0.9123871146775494,0.8935,0.8699008240185404,0.7882352941176471,0.7925,475
Qwen2.5-0.5B-Instruct,0,8,0.1,0.8943915199430078,0.913,0.8899008607661122,0.799901185770751,0.8125,156
Qwen2.5-0.5B-Instruct,0,9,0.1,0.8954836705235655,0.9005,0.8782571480815751,0.8214285714285714,0.825,410
Qwen2.5-0.5B-Instruct,0,10,0.1,0.8986883763003166,0.9395,0.9251678039120524,0.855108359133127,0.86,350
Qwen2.5-0.5B-Instruct,0,11,0.1,0.9413377177387314,0.9575,0.9501896023436149,0.8546764377096013,0.8574999999999999,158
Qwen2.5-0.5B-Instruct,0,12,1.0,0.9487289744024935,0.9590000000000001,0.9566841041229976,0.8770339088312011,0.88,322
Qwen2.5-0.5B-Instruct,0,13,1.0,0.9599448915134637,0.9730000000000001,0.968675886020264,0.8773993808049536,0.8825000000000001,178
Qwen2.5-0.5B-Instruct,0,14,0.1,0.962286117219,0.9775,0.9744238922376822,0.8773993808049536,0.8825000000000001,96
Qwen2.5-0.5B-Instruct,0,15,0.1,0.9785326275047481,0.968,0.9615119133970285,0.8888339920948616,0.8975,67
Qwen2.5-0.5B-Instruct,0,16,1.0,0.9813548988429304,0.9695,0.9731070644588223,0.8996904024767802,0.905,86
Qwen2.5-0.5B-Instruct,0,17,100.0,0.9809032469315958,0.978,0.9764255977144692,0.9107142857142857,0.915,134
Qwen2.5-0.5B-Instruct,0,18,1.0,0.977842507176967,0.9745,0.9716873982971637,0.9107142857142857,0.915,102
Qwen2.5-0.5B-Instruct,0,19,10.0,0.9774908887365473,0.9724999999999999,0.9715744480413452,0.8886689757545769,0.895,136
Qwen2.5-0.5B-Instruct,0,20,1.0,0.9772018504769843,0.966,0.9597818732635582,0.8996904024767802,0.905,103
Qwen2.5-0.5B-Instruct,0,21,0.1,0.9640584321894751,0.955,0.9466933946219472,0.9104031856645097,0.9125000000000001,64
Qwen2.5-0.5B-Instruct,0,22,0.1,0.9532486541310347,0.9375,0.9225804401181711,0.91,0.91,65
Qwen2.5-0.5B-Instruct,0,23,0.01,0.951208318992042,0.9524999999999999,0.9373225482230456,0.9214365881032547,0.9225000000000001,24
Qwen2.5-0.5B-Instruct,0,24,0.1,0.9496920138523444,0.9555,0.9414589992946525,0.8880039820806371,0.89,67
Qwen2.5-0.5B-Instruct,1,0,0.01,0.5,0.5,0.4444444444444444,0.35714285714285715,0.5,10
Qwen2.5-0.5B-Instruct,1,1,0.1,0.8041096531193217,0.7024999999999999,0.6221173364483259,0.6875,0.69,249
Qwen2.5-0.5B-Instruct,1,2,0.1,0.8618395538981289,0.7845,0.7476529849064999,0.7058823529411764,0.7050000000000001,222
Qwen2.5-0.5B-Instruct,1,3,0.1,0.867882650150556,0.8240000000000001,0.7849495945732546,0.761694616063548,0.76,220
Qwen2.5-0.5B-Instruct,1,4,0.1,0.8726053994053619,0.8335,0.7937668576835126,0.7428890821016023,0.745,240
Qwen2.5-0.5B-Instruct,1,5,0.1,0.8945734133474676,0.825,0.8078893324233503,0.7550717466600693,0.76,172
Qwen2.5-0.5B-Instruct,1,6,0.1,0.9121202007243498,0.8535,0.8139464851193077,0.7867564534231201,0.7875000000000001,180
